Quick Sort,5,Custom,8,3,41,2026-05-13 21:37:27
Insertion Sort,5,Custom,9,7,155,2026-05-13 21:37:27
Merge Sort,5,Custom,7,4,50,2026-05-13 21:37:27
Quick Sort,8,Custom,19,9,70,2026-05-13 21:37:52
Insertion Sort,8,Custom,19,15,306,2026-05-13 21:37:52
Merge Sort,8,Custom,15,6,82,2026-05-13 21:37:52
Quick Sort,20,Custom,62,33,143,2026-05-13 21:38:12
Insertion Sort,20,Custom,113,96,1423,2026-05-13 21:38:12
Merge Sort,20,Custom,68,28,214,2026-05-13 21:38:12
Quick Sort,20,Custom,69,28,153,2026-05-13 21:38:25
Insertion Sort,20,Custom,101,85,1319,2026-05-13 21:38:25
Merge Sort,20,Custom,65,31,205,2026-05-13 21:38:25
Quick Sort,20,Custom,84,24,163,2026-05-13 21:38:28
Insertion Sort,20,Custom,143,127,1771,2026-05-13 21:38:28
Merge Sort,20,Custom,69,33,204,2026-05-13 21:38:28
Quick Sort,20,Custom,74,39,155,2026-05-13 21:38:32
Insertion Sort,20,Custom,129,115,1619,2026-05-13 21:38:32
Merge Sort,20,Custom,59,32,208,2026-05-13 21:38:32
Quick Sort,20,Custom,100,21,1702,2026-05-13 21:38:54
Insertion Sort,20,Custom,121,104,18443,2026-05-13 21:38:54
Merge Sort,20,Custom,64,35,2488,2026-05-13 21:38:54
Quick Sort,15,Random,65,13,1318,2026-05-13 23:20:58
Insertion Sort,15,Random,45,33,7862,2026-05-13 23:20:58
Merge Sort,15,Random,42,15,1862,2026-05-13 23:20:58
Quick Sort,15,Random,0,0,0,2026-05-14 09:46:39
Insertion Sort,15,Random,0,0,0,2026-05-14 09:46:39
Bubble Sort,15,Random,105,52,15439,2026-05-14 09:47:09
Insertion Sort,15,Random,64,52,10344,2026-05-14 09:47:09
Bubble Sort,11,Custom,55,17,8366,2026-05-14 10:09:56
Insertion Sort,11,Custom,25,17,4701,2026-05-14 10:09:56
Merge Sort,11,Custom,27,12,1310,2026-05-14 10:09:56
Bubble Sort,15,Random,105,52,15423,2026-05-21 21:02:47
Insertion Sort,15,Random,61,52,10325,2026-05-21 21:02:47
Merge Sort,15,Random,42,17,1829,2026-05-21 21:02:47
Bubble Sort,15,Random,105,62,15429,2026-05-21 21:03:47
Insertion Sort,15,Random,73,62,11636,2026-05-21 21:03:47
Merge Sort,15,Random,43,24,1831,2026-05-21 21:03:47
Bubble Sort,5,Custom,10,7,1700,2026-05-21 21:05:21
Insertion Sort,5,Custom,9,7,1830,2026-05-21 21:05:21
Merge Sort,5,Custom,7,4,523,2026-05-21 21:05:21
Bubble Sort,15,Random,105,67,10027,2026-06-06 13:14:27
Insertion Sort,15,Random,78,67,9767,2026-06-06 13:14:27
Bubble Sort,15,Random,105,47,13068,2026-06-06 13:15:49
Heap Sort,15,Random,75,49,2442,2026-06-06 13:15:49
Heap Sort,35,Random,258,153,5761,2026-06-06 13:17:49
Insertion Sort,35,Random,269,236,33563,2026-06-06 13:17:49
Comb Sort,35,Random,288,56,5462,2026-06-06 13:18:31
Insertion Sort,35,Random,350,319,6498,2026-06-06 13:18:31
Comb Sort,35,Random,288,62,3085,2026-06-06 13:18:44
Heap Sort,35,Random,255,151,572,2026-06-06 13:18:44
